combined_id,date,detection_source,confidence,combined_class,soft_hard_delay_sec,slx_flare_id,slx_peak_utc,slx_start_utc,slx_end_utc,slx_peak_counts,slx_bg,slx_duration_sec,slx_class,slx_intensity_ratio,slx_rise_time_sec,slx_decay_time_sec,hel_flare_id,hel_peak_utc,hel_start_utc,hel_end_utc,hel_peak_ctr,hel_bg,hel_duration_sec,hel_class,hel_intensity_ratio,hel_rise_time_sec,hel_decay_time_sec,hel_detector,hel_energy_band
CMB_20260615_005,2026-06-15,SoLEXS+HEL1OS,HIGH,X,49.226,SLX_20260615_005,2026-06-15 18:51:19.000,2026-06-15 18:49:57.000,2026-06-15 18:55:00.000,91.0,6.0,304.0,C,15.166666666666666,82.0,221.0,HEL_20260615_001,2026-06-15 18:50:29.774,2026-06-15 12:00:00.774,2026-06-15 23:59:41.774,278.0,1e-06,43181.0,X,278000000.0,24629.0,18552.0,CdTe,
CMB_20260616_001,2026-06-16,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260616_001,2026-06-16 00:47:27.783,2026-06-16 00:00:06.783,2026-06-16 11:59:28.783,43.0,1e-06,43162.0,X,43000000.0,2841.0,40321.0,CdTe,
CMB_20260616_002,2026-06-16,SoLEXS_only,MEDIUM,B,,SLX_20260616_001,2026-06-16 15:33:03.000,2026-06-16 15:31:58.000,2026-06-16 15:34:40.000,32.0,7.0,163.0,B,4.571428571428571,65.0,98.0,,,,,,,,,,,,,
CMB_20260616_003,2026-06-16,SoLEXS_only,MEDIUM,C,,SLX_20260616_002,2026-06-16 17:52:52.000,2026-06-16 17:52:02.000,2026-06-16 17:57:05.000,24.0,4.0,304.0,C,6.0,50.0,253.0,,,,,,,,,,,,,
CMB_20260616_004,2026-06-16,SoLEXS_only,MEDIUM,C,,SLX_20260616_003,2026-06-16 21:18:06.000,2026-06-16 21:17:28.000,2026-06-16 21:21:58.000,25.0,2.6999999999999886,271.0,C,9.259259259259299,38.0,232.0,,,,,,,,,,,,,
CMB_20260617_001,2026-06-17,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260617_001,2026-06-17 15:04:23.582,2026-06-17 00:00:07.796,2026-06-17 21:00:12.582,41.0,1e-06,106736.0,X,41000000.0,64038.0,42698.0,CdTe,
CMB_20260617_002,2026-06-17,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260617_002,2026-06-17 22:11:06.582,2026-06-17 22:10:30.783,2026-06-17 23:59:43.783,13.0,1e-06,13106.0,X,13000000.0,71.0,13035.0,CdTe,
CMB_20260618_001,2026-06-18,SoLEXS_only,MEDIUM,B,,SLX_20260618_001,2026-06-18 07:45:16.000,2026-06-18 07:44:38.000,2026-06-18 07:50:58.000,40.0,11.0,381.0,B,3.6363636363636362,38.0,342.0,,,,,,,,,,,,,
CMB_20260618_002,2026-06-18,SoLEXS+HEL1OS,HIGH,X,56.161,SLX_20260618_002,2026-06-18 11:55:11.000,2026-06-18 11:45:56.000,2026-06-18 11:58:31.000,97.0,35.0,756.0,B,2.7714285714285714,555.0,201.0,HEL_20260618_001,2026-06-18 11:54:14.839,2026-06-18 00:00:06.839,2026-06-18 23:59:41.764,143.0,1e-06,86351.0,X,143000000.0,42848.0,43503.0,CdTe,
CMB_20260618_003,2026-06-18,SoLEXS_only,MEDIUM,B,,SLX_20260618_003,2026-06-18 13:24:43.000,2026-06-18 13:24:18.000,2026-06-18 13:29:56.000,32.0,7.0,339.0,B,4.571428571428571,25.0,314.0,,,,,,,,,,,,,
CMB_20260618_004,2026-06-18,SoLEXS_only,MEDIUM,C,,SLX_20260618_004,2026-06-18 14:55:44.000,2026-06-18 14:52:20.000,2026-06-18 15:00:31.000,33.0,6.0,492.0,C,5.5,204.0,288.0,,,,,,,,,,,,,
CMB_20260618_005,2026-06-18,SoLEXS_only,MEDIUM,B,,SLX_20260618_005,2026-06-18 22:03:27.000,2026-06-18 21:55:54.000,2026-06-18 22:07:10.000,58.0,15.0,677.0,B,3.8666666666666667,453.0,223.0,,,,,,,,,,,,,
CMB_20260619_001,2026-06-19,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260619_001,2026-06-19 07:12:33.496,2026-06-19 00:10:12.796,2026-06-19 11:59:47.496,16.0,1e-06,85142.0,X,16000000.0,50681.0,34461.0,CdTe,
CMB_20260619_002,2026-06-19,SoLEXS_only,MEDIUM,C,,SLX_20260619_001,2026-06-19 09:44:57.000,2026-06-19 09:43:35.000,2026-06-19 09:49:59.000,25.0,4.0,385.0,C,6.25,82.0,303.0,,,,,,,,,,,,,
CMB_20260619_003,2026-06-19,SoLEXS_only,MEDIUM,C,,SLX_20260619_002,2026-06-19 19:37:46.000,2026-06-19 19:29:43.000,2026-06-19 19:43:32.000,217.0,38.69999999999999,830.0,C,5.607235142118864,483.0,347.0,,,,,,,,,,,,,
CMB_20260620_001,2026-06-20,SoLEXS_only,MEDIUM,A,,SLX_20260620_001,2026-06-20 01:52:12.000,2026-06-20 01:40:54.000,2026-06-20 01:53:36.000,885.0,497.7,763.0,A,1.7781796262808922,678.0,84.0,,,,,,,,,,,,,
CMB_20260620_002,2026-06-20,SoLEXS_only,MEDIUM,B,,SLX_20260620_002,2026-06-20 11:27:26.000,2026-06-20 11:22:07.000,2026-06-20 11:30:49.000,93.0,20.0,523.0,B,4.65,319.0,204.0,,,,,,,,,,,,,
CMB_20260620_003,2026-06-20,SoLEXS_only,MEDIUM,B,,SLX_20260620_003,2026-06-20 12:21:39.000,2026-06-20 12:18:53.000,2026-06-20 12:24:08.000,97.0,26.69999999999999,316.0,B,3.632958801498129,166.0,149.0,,,,,,,,,,,,,
CMB_20260620_004,2026-06-20,SoLEXS+HEL1OS,HIGH,X,10.858,SLX_20260620_004,2026-06-20 15:00:29.000,2026-06-20 14:57:35.000,2026-06-20 15:08:34.000,709.0,10.0,660.0,X,70.9,174.0,485.0,HEL_20260620_001,2026-06-20 15:00:18.142,2026-06-20 00:00:09.706,2026-06-20 23:59:26.142,1482.0,1e-06,128882.0,X,1482000000.0,96534.0,32348.0,CdTe,
CMB_20260620_005,2026-06-20,SoLEXS_only,MEDIUM,B,,SLX_20260620_005,2026-06-20 21:43:19.000,2026-06-20 21:32:08.000,2026-06-20 21:44:59.000,258.0,120.0,772.0,B,2.15,671.0,100.0,,,,,,,,,,,,,
